id,name,team,position,position_name,value,points_per_game
2,O.Okongwu,1,2,FC,119,366.7
3,J.Johnson,1,2,FC,147,549.7
4,M.Gueye,1,2,FC,43,137.5
6,K.Wallace,1,1,BC,44,99.8
7,D.Daniels,1,1,BC,134,374.0
8,N.Djurisic,1,1,BC,43,0.0
9,Z.Risacher,1,2,FC,85,206.2
10,J.Toppin,1,2,FC,84,28.0
11,E.Ndiaye,1,2,FC,44,0.0
12,A.Newell,1,2,FC,49,104.1
14,N.Dante,1,2,FC,45,40.0
16,N.Alexander-Walker,1,1,BC,84,366.4
17,C.Houstan,1,1,BC,44,30.0
191,B.Hield,1,1,BC,83,159.1
218,R.Dennis,1,2,FC,43,106.9
268,G.Vincent,1,1,BC,50,96.6
271,C.Koloko,1,2,FC,43,114.3
284,J.Landale,1,2,FC,49,226.3
501,D.Reath,1,2,FC,43,61.6
594,C.McCollum,1,1,BC,120,329.1
600,C.Kispert,1,2,FC,69,165.4
620,J.Kuminga,1,2,FC,85,264.6
643,M.Williams,1,2,FC,45,0.0
645,K.Gilbert,1,1,BC,45,90.0
18,C.Bassey,2,2,FC,49,100.0
19,J.Tatum,2,2,FC,160,406.7
20,J.Brown,2,1,BC,140,500.8
21,D.White,2,1,BC,126,409.8
22,P.Pritchard,2,1,BC,109,341.5
23,S.Hauser,2,2,FC,69,185.8
24,J.Walsh,2,2,FC,42,142.4
25,N.Queta,2,2,FC,60,276.6
27,B.Scheierman,2,1,BC,48,129.7
28,H.González,2,1,BC,49,113.6
29,R.Luis Jr.,2,2,FC,45,0.0
30,M.Shulga,2,1,BC,44,4.0
31,A.Williams,2,2,FC,44,60.6
33,L.Garza,2,2,FC,45,155.4
35,C.Boucher,2,2,FC,62,90.0
36,K.Brown,2,1,BC,45,0.0
37,R.Harper Jr.,2,1,BC,44,83.6
38,J.Bridges,2,2,FC,45,0.0
82,N.Vucevic,2,2,FC,141,348.2
588,J.Tonje,2,1,BC,43,20.0
613,D.Banton,2,2,FC,54,50.0
32,J.Minott,3,2,FC,43,149.3
41,T.Mann,3,1,BC,63,193.3
44,N.Claxton,3,2,FC,120,322.9
46,D.Sharpe,3,2,FC,79,245.5
47,N.Clowney,3,2,FC,65,241.6
48,D.Whitehead,3,2,FC,45,0.0
49,J.Wilson,3,2,FC,62,95.6
50,Z.Williams,3,2,FC,74,187.8
51,T.Etienne,3,1,BC,43,70.7
52,E.Dëmin,3,1,BC,64,235.4
53,D.Powell,3,1,BC,50,126.0
54,B.Saraf,3,1,BC,48,163.4
55,N.Traore,3,1,BC,48,202.0
56,D.Wolf,3,2,FC,55,217.3
57,M.Porter Jr.,3,2,FC,124,412.9
59,E.J.Liddell,3,2,FC,44,73.1
60,F.Zeng,3,2,FC,45,0.0
120,C.Johnson,3,2,FC,43,200.0
154,H.Tyson,3,2,FC,45,59.5
560,O.Agbaji,3,1,BC,67,108.7
650,G.Nelson,3,2,FC,45,106.7
658,M.Smith,3,1,BC,45,90.0
26,X.Tillman,4,2,FC,54,53.8
61,D.Peterson,4,1,BC,45,50.0
62,J.Green,4,1,BC,125,107.0
63,M.Diabate,4,2,FC,65,255.6
64,G.Williams,4,2,FC,85,170.4
65,T.Mann,4,1,BC,85,138.4
66,L.Ball,4,1,BC,150,428.5
67,M.Bridges,4,2,FC,133,330.5
68,B.Miller,4,2,FC,121,378.9
69,T.Salaun,4,2,FC,59,137.2
71,S.James,4,1,BC,45,152.3
72,R.Kalkbrenner,4,2,FC,56,211.1
73,K.Knueppel,4,1,BC,75,342.6
74,L.McNeeley,4,2,FC,49,87.5
75,S.Dinwiddie,4,1,BC,90,0.0
76,P.Connaughton,4,1,BC,43,65.5
77,A.Reeves,4,1,BC,43,46.7
80,D.Rodman,4,1,BC,45,0.0
81,I.Badji,4,2,FC,45,0.0
83,C.White,4,1,BC,120,318.2
283,P.Hall,4,2,FC,44,129.4
386,T.Evbuomwan,4,2,FC,59,5.0
596,M.Branham,4,1,BC,49,98.8
627,E.Dixon,4,2,FC,45,0.0
34,A.Simons,5,1,BC,118,235.1
79,C.Sexton,5,1,BC,100,263.9
85,P.Williams,5,2,FC,70,152.7
89,J.Smith,5,2,FC,69,233.1
90,J.Giddey,5,1,BC,137,476.2
91,M.Buzelis,5,2,FC,77,321.7
94,T.Jones,5,1,BC,66,305.3
95,Z.Collins,5,2,FC,60,201.0
96,N.Essengue,5,2,FC,53,15.0
97,L.Olbrich,5,2,FC,44,57.9
98,I.Okoro,5,1,BC,49,182.4
99,Y.Kawamura,5,1,BC,45,133.0
100,M.Gueye,5,2,FC,45,0.0
169,J.Ivey,5,1,BC,100,176.8
248,T.Flowers,5,2,FC,45,35.0
353,L.Miller,5,2,FC,43,104.5
355,R.Dillingham,5,1,BC,53,136.9
403,G.Yabusele,5,2,FC,78,114.6
480,N.Richards,5,2,FC,85,141.3
638,M.McClung,5,1,BC,50,132.5
101,T.Enaruna,6,2,FC,44,51.7
103,L.Nance Jr.,6,2,FC,70,96.9
104,L.Ball,6,1,BC,69,209.7
107,E.Mobley,6,2,FC,141,418.4
108,J.Allen,6,2,FC,129,330.8
109,D.Wade,6,2,FC,55,166.7
110,D.Mitchell,6,1,BC,152,498.2
111,S.Merrill,6,1,BC,60,215.5
112,M.Strus,6,1,BC,75,210.0
113,C.Porter,6,1,BC,45,187.2
114,J.Tyson,6,1,BC,47,259.1
115,L.Travers,6,2,FC,44,85.8
116,N.Tomlin,6,2,FC,44,139.1
117,T.Proctor,6,1,BC,44,96.4
118,T.Bryant,6,2,FC,53,121.7
119,M.Kopp,6,2,FC,45,0.0
244,J.Harden,6,1,BC,166,492.7
332,C.Livingston,6,2,FC,44,85.0
512,D.Schroder,6,1,BC,99,270.2
521,K.Ellis,6,1,BC,78,153.1
543,R.Minix,6,2,FC,45,54.0
550,O.Sarr,6,2,FC,45,0.0
648,D.Brown,6,1,BC,45,10.0
122,D.Smith Jr.,7,1,BC,60,0.0
124,N.Marshall,7,2,FC,86,296.7
125,D.Powell,7,2,FC,49,113.1
