Chinese Name,English Name
拉梅洛-鲍尔,LaMelo Ball
迈尔斯-布里奇斯,Miles Bridges
约什-格林,Josh Green
布兰登-米勒,Brandon Miller
科比-怀特,Coby White
格兰特-威廉姆斯,Grant Williams
特雷-曼,Tre Mann
梅森-普拉姆利,Mason Plumlee
穆萨-迪亚巴特,Moussa Diabate
提贾尼-萨隆,Tidjane Salaun
哈维尔-蒂尔曼,Xavier Tillman
安东尼奥-里夫斯,Antonio Reeves
帕特-康诺顿,Pat Connaughton
波尔津吉斯,Kristaps Porzingis
斯蒂芬-库里,Stephen Curry
吉米-巴特勒,Jimmy Butler
德雷蒙德-格林,Draymond Green
布兰丁-波杰姆斯基,Brandin Podziemski
德安东尼-梅尔顿,De'Anthony Melton
艾尔-霍福德,Al Horford
帕特-斯潘塞,Pat Spencer
塞斯-库里,Seth Curry
摩西-穆迪,Moses Moody
昆腾-波斯特,Quinten Post
加里-佩顿,Gary Payton II
桂-桑托斯,Gui Santos
以赛亚-杰克逊,Isaiah Jackson
达柳斯-加兰,Darius Garland
伊维察-祖巴茨,Ivica Zubac
考瓦伊-伦纳德,Kawhi Leonard
约翰-柯林斯,John Collins
布拉德利-比尔,Bradley Beal
马瑟林,Bennedict Mathurin
布鲁克-洛佩斯,Brook Lopez
波格丹-波格丹诺维奇,Bogdan Bogdanovic
克里斯-邓恩,Kris Dunn
德里克-琼斯,Derrick Jones Jr.
尼古拉斯-巴图姆,Nicolas Batum
乔丹-米勒,Jordan Miller
科比-桑德斯,Kobe Sanders
埃德里斯-阿德巴约,Bam Adebayo
泰勒-希罗,Tyler Herro
诺曼-鲍威尔,Norman Powell
安德鲁-维金斯,Andrew Wiggins
凯莱尔-韦尔,Kel'el Ware
小海梅-哈克斯,Jaime Jaquez Jr.
尼科拉-约维奇,Nikola Jovic
戴维恩-米切尔,Davion Mitchell
西莫内-丰泰基奥,Simone Fontecchio
德鲁-史密斯,Dru Smith
佩莱-拉尔森,Pelle Larsson
保罗-班凯罗,Paolo Banchero
弗朗茨-瓦格纳,Franz Wagner
德斯蒙德-贝恩,Desmond Bane
杰伦-萨格斯,Jalen Suggs
温德尔-卡特,Wendell Carter Jr.
泰尔斯-琼斯,Tyus Jones
戈加-比塔泽,Goga Bitadze
安东尼-布莱克,Anthony Black
莫里茨-瓦格纳,Moritz Wagner
乔纳森-艾萨克,Jonathan Isaac
特里斯坦-达-席尔瓦,Tristan da Silva
奥兰多-罗宾逊,Orlando Robinson
科林-卡斯尔顿,Colin Castleton
莱斯特-奎诺内斯,Lester Quinones
贾马尔-凯恩,Jamal Cain
里斯-比克曼,Reece Beekman
杰特-霍华德,Jett Howard
贾斯汀-米纳亚,Justin Minaya
乔尔-恩比德,Joel Embiid
泰雷斯-马克西,Tyrese Maxey
保罗-乔治,Paul George
凯利-乌布雷,Kelly Oubre Jr.
昆廷-格兰姆斯,Quentin Grimes
贾里德-麦凯恩,Jared McCain
安德烈-德拉蒙德,Andre Drummond
凯尔-洛瑞,Kyle Lowry
特伦登-沃特福特,Trendon Watford
贾斯汀-爱德华兹,Justin Edwards
阿德姆-博纳,Adem Bona
埃里克-戈登,Eric Gordon
贾巴里-沃克,Jabari Walker
多米尼克-巴洛,Dominick Barlow
伊莫尼-贝茨,Emoni Bates
德文-布克,Devin Booker
杰伦-格林,Jalen Green
马克-威廉姆斯,Mark Williams
尼克-理查兹,Nick Richards
罗伊斯-奥尼尔,Royce O'Neale
狄龙-布鲁克斯,Dillon Brooks
格雷森-阿伦,Grayson Allen
乔丹-古德温,Jordan Goodwin
奥索-伊戈达罗,Oso Ighodaro
瑞安-邓恩,Ryan Dunn
科林-吉莱斯皮,Collin Gillespie
贾里德-巴特勒,Jared Butler
达米安-鲍格,Damian Baugh
大卫-杜克,David Duke Jr.
达米安-利拉德,Damian Lillard
德尼-阿夫迪亚,Deni Avdija
谢登-夏普,Shaedon Sharpe
图马尼-卡马拉,Toumani Camara
杰里米-格兰特,Jerami Grant
斯库特-亨德森,Scoot Henderson
朱-霍利迪,Jrue Holiday
多诺万-克林根,Donovan Clingan
罗伯特-威廉姆斯,Robert Williams III
马蒂斯-赛布尔,Matisse Thybulle
克里斯-默里,Kris Murray
布雷克-韦斯利,Blake Wesley
杜普-里斯,Duop Reath
拉扬-吕佩尔,Rayan Rupert
西迪-西索科,Sidy Cissoko
Kon Knueppel,Kon Knueppel
Ryan Kalkbrenner,Ryan Kalkbrenner
Liam McNeeley,Liam McNeeley
Sion James,Sion James
DJ Rodman,DJ Rodman
Ibou Badji,Ibou Badji
Will Richard,Will Richard
Alex Toohey,Alex Toohey
Taevion Kinsey,Taevion Kinsey
LJ Cryer,LJ Cryer
Marques Bolden,Marques Bolden
Yanic Konan Niederhäuser,Yanic Konan Niederhäuser
John Poulakidas,John Poulakidas
Jason Preston,Jason Preston
Jahmyl Telfort,Jahmyl Telfort
Kasparas Jakučionis,Kasparas Jakučionis
Vladislav Goldin,Vladislav Goldin
Ethan Thompson,Ethan Thompson
Trevor Keels,Trevor Keels
Myron Gardner,Myron Gardner
Dain Dainja,Dain Dainja
Jase Richardson,Jase Richardson
Noah Penda,Noah Penda
Alex Morales,Alex Morales
Jalen Crutcher,Jalen Crutcher
VJ Edgecombe,VJ Edgecombe
Johni Broome,Johni Broome
Hunter Sallis,Hunter Sallis
Kennedy Chandler,Kennedy Chandler
Malcolm Hill,Malcolm Hill
Saint Thomas,Saint Thomas
Khaman Maluach,Khaman Maluach
Rasheer Fleming,Rasheer Fleming
Isaiah Livers,Isaiah Livers
Nigel Hayes-Davis,Nigel Hayes-Davis
Koby Brea,Koby Brea
CJ Huntley,CJ Huntley
Tyrese Samuel,Tyrese Samuel
Yang Hansen,Yang Hansen
Caleb Love,Caleb Love
Javonte Cooke,Javonte Cooke
Sean Pedulla,Sean Pedulla
